Scanner X; Scanner Y; TCP x; TCP y;
-110;-50;36.5473;22.1222;
-100;-50;32.3128;20.9827;
-90;-50;28.365;20.262;
-80;-50;24.6585;19.8437;
-70;-50;21.1533;19.6319;
-60;-50;17.814;19.5495;
-50;-50;14.6095;19.5367;
-40;-50;11.5122;19.5493;
-30;-50;8.49773;19.5567;
-20;-50;5.54375;19.541;
-10;-50;2.62994;19.4944;
0;-50;-0.262903;19.4182;
10;-50;-3.1534;19.3211;
20;-50;-6.06017;19.217;
30;-50;-9.00247;19.1238;
40;-50;-12.0008;19.0619;
50;-50;-15.0773;19.0519;
60;-50;-18.2568;19.1135;
70;-50;-21.567;19.2635;
80;-50;-25.0391;19.5144;
90;-50;-28.7088;19.8725;
100;-50;-32.6164;20.3364;
110;-50;-36.8076;20.8951;
-110;-40;36.087;17.4814;
-100;-40;32.1643;16.6226;
-90;-40;28.4754;16.1007;
-80;-40;24.9803;15.8158;
-70;-40;21.6439;15.6868;
-60;-40;18.4353;15.6498;
-50;-40;15.3275;15.6569;
-40;-40;12.2964;15.6736;
-30;-40;9.32074;15.6781;
-20;-40;6.38089;15.659;
-10;-40;3.45866;15.6138;
0;-40;0.536583;15.5474;
10;-40;-2.40269;15.4702;
20;-40;-5.37698;15.3967;
30;-40;-8.40521;15.3434;
40;-40;-11.508;15.3277;
50;-40;-14.7081;15.3657;
60;-40;-18.0314;15.4708;
70;-40;-21.5069;15.6523;
80;-40;-25.1682;15.9131;
90;-40;-29.053;16.2484;
100;-40;-33.2047;16.6443;
110;-40;-37.6724;17.0754;
-110;-30;35.3511;12.8501;
-100;-30;31.5935;12.2453;
-90;-30;28.0414;11.9017;
-80;-30;24.6595;11.7351;
-70;-30;21.4167;11.6783;
-60;-30;18.2862;11.6799;
-50;-30;15.2441;11.7026;
-40;-30;12.2694;11.7213;
-30;-30;9.34296;11.7214;
-20;-30;6.44723;11.6975;
-10;-30;3.5655;11.6514;
0;-30;0.681302;11.5908;
10;-30;-2.22216;11.5269;
20;-30;-5.16262;11.4736;
30;-30;-8.15937;11.4454;
40;-30;-11.2338;11.4557;
50;-30;-14.4101;11.5152;
60;-30;-17.7157;11.6303;
70;-30;-21.1822;11.8015;
80;-30;-24.8454;12.0214;
90;-30;-28.7464;12.2734;
100;-30;-32.9322;12.5299;
110;-30;-37.456;12.7505;
-110;-20;34.9908;8.34343;
-100;-20;31.2459;7.96297;
-90;-20;27.698;7.77502;
-80;-20;24.3158;7.70994;
-70;-20;21.0718;7.71379;
-60;-20;17.9422;7.74663;
-50;-20;14.9057;7.78089;
-40;-20;11.9435;7.79972;
-30;-20;9.03821;7.79525;
-20;-20;6.17342;7.76702;
-10;-20;3.33322;7.72023;
0;-20;0.501449;7.66413;
10;-20;-2.33884;7.61032;
20;-20;-5.20601;7.57111;
30;-20;-8.12042;7.55783;
40;-20;-11.105;7.57917;
50;-20;-14.186;7.63955;
60;-20;-17.3932;7.73738;
70;-20;-20.7611;7.86347;
80;-20;-24.3291;7.99931;
90;-20;-28.1421;8.11544;
100;-20;-32.2512;8.16975;
110;-20;-36.7144;8.10585;
-110;-10;35.3624;4.0037;
-100;-10;31.4896;3.81475;
-90;-10;27.8206;3.75706;
-80;-10;24.3271;3.77479;
-70;-10;20.9848;3.82618;
-60;-10;17.7721;3.88187;
-50;-10;14.6697;3.92325;
-40;-10;11.6601;3.94078;
-30;-10;8.72695;3.93233;
-20;-10;5.85443;3.9015;
-10;-10;3.02662;3.85597;
0;-10;0.226997;3.80584;
10;-10;-2.56227;3.76194;
20;-10;-5.36087;3.73419;
30;-10;-8.19093;3.7299;
40;-10;-11.0777;3.75214;
50;-10;-14.0499;3.79806;
60;-10;-17.1409;3.85722;
70;-10;-20.3885;3.90992;
80;-10;-23.8363;3.92554;
90;-10;-27.5337;3.86088;
100;-10;-31.5369;3.65849;
110;-10;-35.9094;3.245;
-110;0;36.5393;-0.17612;
-100;0;32.4276;-0.210033;
-90;0;28.5369;-0.16591;
-80;0;24.8416;-0.0866722;
-70;0;21.3195;-0.00278981;
-60;0;17.9507;0.066052;
-50;0;14.7169;0.109288;
-40;0;11.6016;0.123804;
-30;0;8.58859;0.112278;
-20;0;5.66186;0.0815027;
-10;0;2.80489;0.0407303;
0;0;0;0;
10;0;-2.77219;-0.0315263;
20;0;-5.53339;-0.04723;
30;0;-8.30824;-0.0447021;
40;0;-11.1249;-0.0274095;
50;0;-14.0157;-0.00636077;
60;0;-17.0176;-0.00177257;
70;0;-20.1729;-0.0447356;
80;0;-23.53;-0.178881;
90;0;-27.1435;-0.462046;
100;0;-31.0755;-0.967939;
110;0;-35.3955;-1.78781;
-110;10;38.3244;-4.22902;
-100;10;33.91;-4.14849;
-90;10;29.7398;-4.03453;
-80;10;25.7902;-3.91803;
-70;10;22.0401;-3.81909;
-60;10;18.4706;-3.74862;
-50;10;15.0642;-3.71004;
-40;10;11.8041;-3.70093;
-30;10;8.67373;-3.71472;
-20;10;5.6563;-3.74231;
-10;10;2.73385;-3.7738;
0;10;-0.113096;-3.8001;
10;10;-2.9062;-3.81461;
20;10;-5.66993;-3.81492;
30;10;-8.43211;-3.80444;
40;10;-11.2246;-3.79405;
50;10;-14.0838;-3.80383;
60;10;-17.0512;-3.86468;
70;10;-20.1744;-4.01997;
80;10;-23.5071;-4.32725;
90;10;-27.1099;-4.8599;
100;10;-31.0514;-5.70879;
110;10;-35.408;-6.98394;
-110;20;40.2623;-8.19061;
-100;20;35.5466;-8.04077;
-90;20;31.0995;-7.8929;
-80;20;26.8985;-7.7668;
-70;20;22.9232;-7.67307;
-60;20;19.1551;-7.61475;
-50;20;15.5762;-7.58902;
-40;20;12.1693;-7.58884;
-30;20;8.91656;-7.60461;
-20;20;5.79957;-7.62588;
-10;20;2.79833;-7.64296;
0;20;-0.109152;-7.64862;
10;20;-2.94754;-7.63975;
20;20;-5.74474;-7.61902;
30;20;-8.5325;-7.59655;
40;20;-11.347;-7.59158;
50;20;-14.2296;-7.63413;
60;20;-17.227;-7.76668;
70;20;-20.3926;-8.0458;
80;20;-23.7861;-8.54386;
90;20;-27.4752;-9.35068;
100;20;-31.5353;-10.5752;
110;20;-36.0505;-12.3471;
-110;30;41.6518;-12.0757;
-100;30;36.719;-11.9067;
-90;30;32.0756;-11.7653;
-80;30;27.6996;-11.6611;
-70;30;23.5708;-11.5961;
-60;30;19.6699;-11.5664;
-50;30;15.9784;-11.5638;
-40;30;12.4772;-11.5776;
-30;30;9.14709;-11.5961;
-20;30;5.96706;-11.6083;
-10;30;2.91444;-11.6057;
0;30;-0.0360288;-11.5838;
10;30;-2.91269;-11.5439;
20;30;-5.74762;-11.4946;
30;30;-8.57718;-11.4537;
40;30;-11.4427;-11.4496;
50;30;-14.3909;-11.5233;
60;30;-17.4747;-11.7297;
70;30;-20.7537;-12.1394;
80;30;-24.2949;-12.8406;
90;30;-28.1731;-13.9404;
100;30;-32.4716;-15.5667;
110;30;-37.2829;-17.8698;
-110;40;41.5582;-15.8551;
-100;40;36.5928;-15.7224;
-90;40;31.9295;-15.6326;
-80;40;27.5462;-15.5861;
-70;40;23.4218;-15.5771;
-60;40;19.536;-15.5956;
-50;40;15.8685;-15.6292;
-40;40;12.3984;-15.664;
-30;40;9.10348;-15.6874;
-20;40;5.96006;-15.6887;
-10;40;2.94186;-15.6614;
0;40;0.0197175;-15.6047;
10;40;-2.83914;-15.5252;
20;40;-5.67164;-15.4384;
30;40;-8.51949;-15.3706;
40;40;-11.4297;-15.3604;
50;40;-14.4555;-15.4604;
60;40;-17.6563;-15.739;
70;40;-21.099;-16.2819;
80;40;-24.8581;-17.1937;
90;40;-29.0166;-18.5999;
100;40;-33.6663;-20.6482;
110;40;-38.9088;-23.5103;
-110;50;38.8253;-19.4319;
-100;50;34.1301;-19.397;
-90;50;29.7369;-19.4094;
-80;50;25.6227;-19.461;
-70;50;21.765;-19.5394;
-60;50;18.1415;-19.6294;
-50;50;14.7297;-19.7149;
-40;50;11.5057;-19.7803;
-30;50;8.44437;-19.8125;
-20;50;5.51798;-19.8023;
-10;50;2.69619;-19.7461;
0;50;-0.0548573;-19.6476;
10;50;-2.77302;-19.5195;
20;50;-5.50081;-19.3853;
30;50;-8.28597;-19.2806;
40;50;-11.1821;-19.2551;
50;50;-14.2491;-19.374;
60;50;-17.5541;-19.72;
70;50;-21.1718;-20.3946;
80;50;-25.185;-21.5201;
90;50;-29.6856;-23.2411;
100;50;-34.7746;-25.726;
110;50;-40.5634;-29.169;
